tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,combined_puppy_stage,text_uppercase,numerator_clean,denominator_clean,timestamp_clean,name_clean,retweet_count,favorite_count,jpg_url,img_num,p1_score,p2_score,p3_score,predicted_dog
892420643555336193,2017-08-01 16:23:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,THIS IS PHINEAS. HE'S A MYSTICAL BOY. ONLY EVER APPEARS IN THE HOLE OF A DONUT. 13/10 HTTPS://T.CO/MGUWQ76DJU,13.0,10.0,2017-08-01 16:23:56+00:00,Phineas,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,0.0,0.0,0.0,
892177421306343426,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,"THIS IS TILLY. SHE'S JUST CHECKING PUP ON YOU. HOPES YOU'RE DOING OK. IF NOT, SHE'S AVAILABLE FOR PATS, SNUGS, BOOPS, THE WHOLE BIT. 13/10 HTTPS://T.CO/0XXU71QEIV",13.0,10.0,2017-08-01 00:17:27+00:00,Tilly,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,0.323581,0.0906465,0.0689569,Chihuahua
891815181378084864,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,THIS IS ARCHIE. HE IS A RARE NORWEGIAN POUNCING CORGO. LIVES IN THE TALL GRASS. YOU NEVER KNOW WHEN ONE MAY STRIKE. 12/10 HTTPS://T.CO/WUNZNHTVJB,12.0,10.0,2017-07-31 00:18:03+00:00,Archie,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,0.716012,0.078253,0.0313789,Chihuahua
891689557279858688,2017-07-30 15:58:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,THIS IS DARLA. SHE COMMENCED A SNOOZE MID MEAL. 13/10 HAPPENS TO THE BEST OF US HTTPS://T.CO/TD36DA7QLQ,13.0,10.0,2017-07-30 15:58:51+00:00,Darla,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,0.0,0.168086,0.0,Labrador_retriever
891327558926688256,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,"THIS IS FRANKLIN. HE WOULD LIKE YOU TO STOP CALLING HIM ""CUTE."" HE IS A VERY FIERCE SHARK AND SHOULD BE RESPECTED AS SUCH. 12/10 #BARKWEEK HTTPS://T.CO/ATUZN91F7F",12.0,10.0,2017-07-29 16:00:24+00:00,Franklin,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,0.555712,0.22577,0.175219,basset
891087950875897856,2017-07-29 00:08:17 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,,HERE WE HAVE A MAJESTIC GREAT WHITE BREACHING OFF SOUTH AFRICA'S COAST. ABSOLUTELY H*CKIN BREATHTAKING. 13/10 (IG: TUCKER_MARLO) #BARKWEEK HTTPS://T.CO/KQ04FDDRMH,13.0,10.0,2017-07-29 00:08:17+00:00,,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,0.425595,0.116317,0.0,Chesapeake_Bay_retriever
890971913173991426,2017-07-28 16:27:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,"MEET JAX. HE ENJOYS ICE CREAM SO MUCH HE GETS NERVOUS AROUND IT. 13/10 HELP JAX ENJOY MORE THINGS BY CLICKING BELOW

HTTPS://T.CO/ZR4HWFAS1H HTTPS://T.CO/TVJBRMNHXL",13.0,10.0,2017-07-28 16:27:12+00:00,Jax,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,0.34170300000000003,0.199287,0.0,Appenzeller
890729181411237888,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,,WHEN YOU WATCH YOUR OWNER CALL ANOTHER DOG A GOOD BOY BUT THEN THEY TURN BACK TO YOU AND SAY YOU'RE A GREAT BOY. 13/10 HTTPS://T.CO/V0NONBCWXQ,13.0,10.0,2017-07-28 00:22:40+00:00,,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,0.566142,0.17840599999999998,0.0765069,Pomeranian
890609185150312448,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,THIS IS ZOEY. SHE DOESN'T WANT TO BE ONE OF THE SCARY SHARKS. JUST WANTS TO BE A SNUGGLY PETTABLE BOATPET. 13/10 #BARKWEEK HTTPS://T.CO/9TWLUAGH0B,13.0,10.0,2017-07-27 16:25:51+00:00,Zoey,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,0.487574,0.193054,0.118184,Irish_terrier
890240255349198849,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,THIS IS CASSIE. SHE IS A COLLEGE PUP. STUDYING INTERNATIONAL DOGGO COMMUNICATION AND STICK THEORY. 14/10 SO ELEGANT MUCH SOPHISTICATE HTTPS://T.CO/T1BFWZ5S2A,14.0,10.0,2017-07-26 15:59:51+00:00,Cassie,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,0.511319,0.451038,0.0292482,Pembroke
